ID,SystemCodeNumber,Capacity,Latitude,Longitude,Occupancy,VehicleType,TrafficConditionNearby,QueueLength,IsSpecialDay,LastUpdatedDate,LastUpdatedTime,Timestamp,Traffic,VehicleWeight,Demand,NormalizedDemand,Price,Date,AvgCompetitorPrice,MinCompetitorPrice,NearbyLots,Fullness,AdjustedPrice,RerouteSuggested
0,BHMBCCMKT01,577,26.14453614,91.73617216,61,car,low,1,0,04-10-2016,07:59:00,2016-10-04 07:59:00,0.0,1.0,1.3422876949740035,0.15904457156103277,11.590445715610327,2016-10-04,13.596011860560482,10.839294010776868,12.0,0.10571923743500866,12.590445715610327,False
1,BHMBCCMKT01,577,26.14453614,91.73617216,64,car,low,1,0,04-10-2016,08:25:00,2016-10-04 08:25:00,0.0,1.0,1.344367417677643,0.15944086202173302,11.594408620217331,2016-10-04,13.596011860560482,10.839294010776868,12.0,0.11091854419410745,12.594408620217331,False
2,BHMBCCMKT01,577,26.14453614,91.73617216,80,car,low,2,0,04-10-2016,08:59:00,2016-10-04 08:59:00,0.0,1.0,1.6554592720970538,0.21871931010147844,12.187193101014785,2016-10-04,13.596011860560482,10.839294010776868,12.0,0.1386481802426343,13.187193101014785,False
3,BHMBCCMKT01,577,26.14453614,91.73617216,107,car,low,2,0,04-10-2016,09:32:00,2016-10-04 09:32:00,0.0,1.0,1.6741767764298094,0.22228592424778068,12.222859242477806,2016-10-04,13.596011860560482,10.839294010776868,12.0,0.1854419410745234,13.222859242477806,False
4,BHMBCCMKT01,577,26.14453614,91.73617216,150,bike,low,2,0,04-10-2016,09:59:00,2016-10-04 09:59:00,0.0,0.5,1.2039861351819758,0.13269125592446632,11.326912559244665,2016-10-04,13.596011860560482,10.839294010776868,12.0,0.25996533795493937,12.326912559244665,False
5,BHMBCCMKT01,577,26.14453614,91.73617216,177,car,low,3,0,04-10-2016,10:26:00,2016-10-04 10:26:00,0.0,1.0,2.0227036395147313,0.2886976006201305,12.886976006201305,2016-10-04,13.596011860560482,10.839294010776868,12.0,0.30675909878682844,13.886976006201305,False
6,BHMBCCMKT01,577,26.14453614,91.73617216,219,truck,high,6,0,04-10-2016,10:59:00,2016-10-04 10:59:00,1.0,1.5,3.251819757365684,0.5229052628939769,15.229052628939769,2016-10-04,13.596011860560482,10.839294010776868,12.0,0.37954939341421146,15.229052628939769,False
9,BHMBCCMKT01,577,26.14453614,91.73617216,266,bike,high,8,0,04-10-2016,12:29:00,2016-10-04 12:29:00,1.0,0.5,2.8844020797227032,0.45289394817026646,14.528939481702665,2016-10-04,13.596011860560482,10.839294010776868,12.0,0.4610051993067591,14.528939481702665,False
10,BHMBCCMKT01,577,26.14453614,91.73617216,269,car,high,7,0,04-10-2016,13:02:00,2016-10-04 13:02:00,1.0,1.0,3.086481802426343,0.49140017126830726,14.91400171268307,2016-10-04,13.596011860560482,10.839294010776868,12.0,0.4662045060658579,14.91400171268307,False
11,BHMBCCMKT01,577,26.14453614,91.73617216,263,car,high,7,0,04-10-2016,13:29:00,2016-10-04 13:29:00,1.0,1.0,3.082322357019064,0.49060759034690676,14.906075903469066,2016-10-04,13.596011860560482,10.839294010776868,12.0,0.4558058925476603,14.906075903469066,False
